City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Kaitangata,NZ,2021-04-04 18:32:00,-46.2817,169.8464,61.0,51,43,11.99
278,Gushikawa,JP,2021-04-04 18:32:01,26.3544,127.8686,64.4,68,90,17.27
279,Zyryanka,RU,2021-04-04 18:32:01,65.75,150.85,-6.77,98,100,7.27
280,Hirado,JP,2021-04-04 18:30:25,33.3597,129.5531,57.0,32,40,13.0
281,Krasnyy Kut,RU,2021-04-04 18:32:01,50.95,46.9667,37.44,71,100,3.49
282,Puerto Madero,MX,2021-04-04 18:32:02,14.7208,-92.4215,91.4,52,20,11.5
283,Kondopoga,RU,2021-04-04 18:32:02,62.2057,34.2614,35.6,93,100,11.18
284,Toledo,ES,2021-04-04 18:32:03,39.8333,-4.0,68.0,34,0,2.3
285,General Roca,AR,2021-04-04 18:32:03,-39.0333,-67.5833,86.0,39,0,8.05
286,Samarai,PG,2021-04-04 18:32:03,-10.6167,150.6667,81.97,79,44,3.67
287,Ancud,CL,2021-04-04 18:32:04,-41.8697,-73.8203,71.01,55,0,9.22
288,Menongue,AO,2021-04-04 18:31:16,-14.6585,17.691,64.56,66,3,4.0
289,Wangkui,CN,2021-04-04 18:32:04,46.8333,126.5,38.53,41,15,8.03
290,Oranjemund,NA,2021-04-04 18:28:08,-28.55,16.4333,63.19,96,21,11.03
291,Moose Factory,CA,2021-04-04 18:32:05,51.2585,-80.6094,37.4,75,1,11.5
292,Sao Sebastiao,BR,2021-04-04 18:32:05,-23.76,-45.4097,75.9,82,54,4.16
