City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Bogande,BF,12.9714,-0.1436,85.23,11,91,1.77,overcast clouds
330,Mitu,CO,1.1983,-70.1733,73.69,96,77,0.76,broken clouds
331,Tazmalt,DZ,36.3868,4.3989,56.25,53,7,0.58,clear sky
332,Vanimo,PG,-2.6741,141.3028,78.69,88,99,1.81,light rain
333,Vestmannaeyjar,IS,63.4427,-20.2734,30.87,49,58,3.96,broken clouds
334,Hasaki,JP,35.7333,140.8333,50.0,76,20,6.91,few clouds
335,Sorland,NO,67.667,12.6934,34.25,69,100,30.89,snow
336,Hamilton,US,39.1834,-84.5333,77.0,43,40,10.36,scattered clouds
337,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.8,94,0,3.44,moderate rain
338,Wagar,SD,16.1525,36.2032,84.16,49,4,9.1,clear sky
339,Crotone,IT,39.0851,17.1178,53.01,100,90,21.85,fog
340,Lubango,AO,-14.9172,13.4925,64.0,59,75,4.54,broken clouds
341,Cidreira,BR,-30.1811,-50.2056,73.33,81,0,15.19,clear sky
342,Tilichiki,RU,60.4667,166.1,11.26,89,100,7.45,overcast clouds
343,Qarqin,AF,37.4185,66.0436,59.45,40,0,4.34,clear sky
344,Portland,US,45.5234,-122.6762,64.99,33,1,6.91,clear sky
345,Rio Grande,BR,-32.035,-52.0986,73.99,88,0,1.99,clear sky
346,Pervoye Maya,RU,56.164,44.7196,37.4,65,0,4.47,clear sky
